battle_tag,turn,my_pokemon,my_hp_fraction,my_status,opp_pokemon,opp_hp_fraction,opp_status,branch,candidates,chosen_action,chosen_score,we_move_first
battle-gen9ubers-3986,1,ribombee,1.0,,deoxysspeed,1.0,,ribombee_opening,[],move:stickyweb,,False
battle-gen9ubers-3986,2,ribombee,1.0,,deoxysspeed,1.0,,ribombee_opening,[],move:stunspore,,False
battle-gen9ubers-3986,3,ribombee,0.16091954022988506,,deoxysspeed,1.0,,general_scoring,"[('move', 'uturn', 210.0), ('move', 'moonblast', 142.5), ('switch', 'zaciancrowned', 80.0), ('move', 'stunspore', 30.0), ('move', 'stickyweb', 10.0), ('switch', 'kyogre', 5.0), ('switch', 'arceusghost', -15.0), ('switch', 'eternatus', -55.0), ('switch', 'koraidon', -85.0)]",move:uturn,210.0,False
battle-gen9ubers-3986,3,ribombee,0,FNT,deoxysspeed,1.0,,forced_switch,[],switch:zaciancrowned,,False
battle-gen9ubers-3986,4,zaciancrowned,0.8769230769230769,,deoxysspeed,1.0,,general_scoring,"[('move', 'behemothblade', 150.0), ('move', 'wildcharge', 90.0), ('move', 'swordsdance', 60.0), ('move', 'closecombat', 60.0), ('switch', 'kyogre', 5.0), ('switch', 'arceusghost', -15.0), ('switch', 'eternatus', -55.0), ('switch', 'koraidon', -85.0)]",move:behemothblade,150.0,False
battle-gen9ubers-3986,5,zaciancrowned,0.8769230769230769,,zaciancrowned,0.16,,hard_ko,[],move:behemothblade,,True
battle-gen9ubers-3986,6,zaciancrowned,0.8769230769230769,,kingambit,1.0,,hard_ko,[],move:closecombat,,True
battle-gen9ubers-3986,7,zaciancrowned,0.8769230769230769,,deoxysspeed,1.0,,general_scoring,"[('move', 'behemothblade', 150.0), ('move', 'wildcharge', 90.0), ('move', 'swordsdance', 60.0), ('move', 'closecombat', 60.0), ('switch', 'kyogre', 5.0), ('switch', 'arceusghost', -15.0), ('switch', 'eternatus', -55.0), ('switch', 'koraidon', -85.0)]",move:behemothblade,150.0,True
battle-gen9ubers-3986,8,zaciancrowned,0.5507692307692308,,deoxysspeed,0.01,,hard_ko,[],move:behemothblade,,True
battle-gen9ubers-3986,9,zaciancrowned,0.5507692307692308,,eternatus,1.0,,general_scoring,"[('move', 'behemothblade', 150.0), ('switch', 'eternatus', 95.0), ('switch', 'kyogre', 85.0), ('move', 'swordsdance', 60.0), ('move', 'closecombat', 60.0), ('move', 'wildcharge', 45.0), ('switch', 'arceusghost', -15.0), ('switch', 'koraidon', -130.0)]",move:behemothblade,150.0,True
battle-gen9ubers-3986,9,zaciancrowned,0,FNT,eternatus,0.31,,forced_switch,[],switch:eternatus,,True
battle-gen9ubers-3986,10,eternatus,0.8764845605700713,,eternatus,0.31,,hard_ko,[],move:dynamaxcannon,,True
battle-gen9ubers-3986,11,eternatus,0.8764845605700713,,koraidon,1.0,,general_scoring,"[('move', 'dynamaxcannon', 300.0), ('move', 'sludgebomb', 135.0), ('move', 'meteorbeam', 60.0), ('move', 'fireblast', 55.0), ('switch', 'arceusghost', -15.0), ('switch', 'kyogre', -15.0), ('switch', 'koraidon', -130.0)]",move:dynamaxcannon,300.0,True
battle-gen9ubers-3986,12,eternatus,0.8764845605700713,,arceusfairy,1.0,,general_scoring,"[('move', 'sludgebomb', 270.0), ('move', 'meteorbeam', 120.0), ('move', 'fireblast', 110.0), ('switch', 'kyogre', 5.0), ('move', 'dynamaxcannon', 0.0), ('switch', 'arceusghost', -15.0), ('switch', 'koraidon', -265.0)]",move:sludgebomb,270.0,True
battle-gen9ubers-3986,13,eternatus,0.47743467933491684,,arceusfairy,0.22,,hard_ko,[],move:sludgebomb,,True
battle-gen9ubers-3987,1,ribombee,1.0,,koraidon,1.0,,ribombee_opening,[],move:stickyweb,,False
battle-gen9ubers-3987,2,ribombee,1.0,,zaciancrowned,1.0,,ribombee_opening,[],move:uturn,,False
battle-gen9ubers-3987,2,ribombee,0.0038314176245210726,,zaciancrowned,0.97,,forced_switch,[],switch:eternatus,,False
battle-gen9ubers-3987,3,eternatus,1.0,,zaciancrowned,0.97,,general_scoring,"[('move', 'fireblast', 220.0), ('switch', 'kyogre', 85.0), ('move', 'meteorbeam', 60.0), ('switch', 'zaciancrowned', 35.0), ('move', 'sludgebomb', 0.0), ('move', 'dynamaxcannon', 0.0), ('switch', 'arceusghost', -35.0), ('switch', 'ribombee', -133.75), ('switch', 'koraidon', -145.0)]",move:fireblast,220.0,False
