config,opponent,repeats,mean_winrate,stdev_winrate,beaten_count
counter_threshold_150,max_damage-nu,1,1.0,0.0,1
counter_threshold_150,max_damage-ou,1,1.0,0.0,1
counter_threshold_150,max_damage-ru,1,1.0,0.0,1
counter_threshold_150,max_damage-uber,1,0.0,0.0,0
counter_threshold_150,max_damage-uu,1,1.0,0.0,1
counter_threshold_150,random-nu,1,1.0,0.0,1
counter_threshold_150,random-ou,1,1.0,0.0,1
counter_threshold_150,random-ru,1,1.0,0.0,1
counter_threshold_150,random-uber,1,1.0,0.0,1
counter_threshold_150,random-uu,1,1.0,0.0,1
counter_threshold_150,simple-nu,1,1.0,0.0,1
counter_threshold_150,simple-ou,1,1.0,0.0,1
counter_threshold_150,simple-ru,1,1.0,0.0,1
counter_threshold_150,simple-uber,1,1.0,0.0,1
counter_threshold_150,simple-uu,1,1.0,0.0,1
