config,opponent,repeats,mean_winrate,stdev_winrate,beaten_count
setup_weight_15,max_damage-nu,3,1.0,0.0,3
setup_weight_15,max_damage-ou,3,1.0,0.0,3
setup_weight_15,max_damage-ru,3,1.0,0.0,3
setup_weight_15,max_damage-uber,3,0.0,0.0,0
setup_weight_15,max_damage-uu,3,1.0,0.0,3
setup_weight_15,random-nu,3,1.0,0.0,3
setup_weight_15,random-ou,3,1.0,0.0,3
setup_weight_15,random-ru,3,1.0,0.0,3
setup_weight_15,random-uber,3,1.0,0.0,3
setup_weight_15,random-uu,3,1.0,0.0,3
setup_weight_15,simple-nu,3,1.0,0.0,3
setup_weight_15,simple-ou,3,1.0,0.0,3
setup_weight_15,simple-ru,3,1.0,0.0,3
setup_weight_15,simple-uber,3,0.7777777777777778,0.1924500897298753,3
setup_weight_15,simple-uu,3,0.7777777777777778,0.1924500897298753,3
