battle_tag,turn,my_pokemon,my_hp_fraction,my_status,opp_pokemon,opp_hp_fraction,opp_status,branch,candidates,chosen_action,chosen_score,we_move_first
battle-gen9ubers-5897,1,ribombee,1.0,,eternatus,1.0,,ribombee_opening,[],move:stickyweb,,False
battle-gen9ubers-5897,2,ribombee,0.0038314176245210726,,eternatus,1.0,,ribombee_opening,[],move:uturn,,False
battle-gen9ubers-5897,2,ribombee,0.0038314176245210726,,eternatus,0.95,,forced_switch,[],switch:eternatus,,False
battle-gen9ubers-5897,3,eternatus,1.0,,eternatus,0.95,,general_scoring,"[('move', 'dynamaxcannon', 300.0), ('switch', 'zaciancrowned', 125.0), ('move', 'meteorbeam', 120.0), ('switch', 'kyogre', 115.0), ('switch', 'koraidon', 92.5), ('move', 'sludgebomb', 67.5), ('switch', 'arceusghost', 65.0), ('move', 'fireblast', 55.0), ('switch', 'ribombee', -2.5)]",move:dynamaxcannon,300.0,False
battle-gen9ubers-5897,4,eternatus,1.0,,zaciancrowned,1.0,,general_scoring,"[('move', 'fireblast', 220.0), ('switch', 'kyogre', 115.0), ('switch', 'arceusghost', 65.0), ('switch', 'zaciancrowned', 65.0), ('move', 'meteorbeam', 60.0), ('move', 'sludgebomb', 0.0), ('move', 'dynamaxcannon', 0.0), ('switch', 'koraidon', -25.0), ('switch', 'ribombee', -73.75)]",move:fireblast,220.0,True
battle-gen9ubers-5897,5,eternatus,0.21377672209026127,,zaciancrowned,0.09,,hard_ko,[],move:fireblast,,True
battle-gen9ubers-5897,5,eternatus,0,FNT,zaciancrowned,0.09,,forced_switch,[],switch:kyogre,,True
battle-gen9ubers-5897,6,kyogre,1.0,,zaciancrowned,0.09,,hard_ko,[],move:earthquake,,False
battle-gen9ubers-5897,6,kyogre,0,FNT,zaciancrowned,0,FNT,forced_switch,[],switch:arceusghost,,False
battle-gen9ubers-5897,7,arceusghost,1.0,,koraidon,1.0,,general_scoring,"[('switch', 'ribombee', 570.0), ('move', 'judgment', 150.0), ('switch', 'koraidon', 92.5), ('move', 'aurasphere', 80.0), ('switch', 'zaciancrowned', 65.0), ('move', 'powergem', 40.0), ('move', 'calmmind', 30.0)]",switch:ribombee,570.0,True
battle-gen9ubers-5897,8,ribombee,0.0038314176245210726,,koraidon,1.0,,hard_ko,[],move:moonblast,,True
